block_slot_id,corridor_zone,from_station_code,to_station_code,track_id,slot_type,start_time,end_time,available_duration_minutes,lead_train_before,following_train_after,train_delay_risk_level,is_allocated
COA-SLOT-0001,ZONE_B_MS_TBM,MS,TBM,LINE_1_SUBURBAN_DN,NIGHT_CORRIDOR_VALLEY,2026-09-14 00:45:00,2026-09-14 03:45:00,180,EMU-4001-LAST,EMU-4003-FIRST,LOW,0
COA-SLOT-0002,ZONE_B_MS_TBM,MS,TBM,LINE_2_SUBURBAN_UP,NIGHT_CORRIDOR_VALLEY,2026-09-14 01:00:00,2026-09-14 04:00:00,180,EMU-4002-LAST,EMU-4004-FIRST,LOW,0
COA-SLOT-0003,ZONE_C_TBM_CGL,TBM,CGL,3RD_LINE_BIDIRECTIONAL,NIGHT_CORRIDOR_VALLEY,2026-09-14 00:30:00,2026-09-14 04:00:00,210,EXP-12637-PANDIAN,FREIGHT-AUTO-MMNK,LOW,0
COA-SLOT-0004,ZONE_C_TBM_CGL,TBM,CGL,LINE_1_SUBURBAN_DN,NIGHT_CORRIDOR_VALLEY,2026-09-14 01:15:00,2026-09-14 03:45:00,150,EMU-4015-LAST,EMU-4017-FIRST,LOW,0
COA-SLOT-0005,ZONE_A_MSB_MS,MSB,MS,LINE_1_SUBURBAN_DN,NIGHT_CORRIDOR_VALLEY,2026-09-14 01:00:00,2026-09-14 03:30:00,150,EMU-4009-LAST,EMU-4011-FIRST,LOW,0
COA-SLOT-0006,ZONE_B_MS_TBM,MS,TBM,LINE_3_MAIN_DN,MIDDAY_OFFPEAK_VALLEY,2026-09-14 12:10:00,2026-09-14 13:50:00,100,EXP-20608-VANDEBHARAT,EXP-12635-VAIGAI,MEDIUM,0
COA-SLOT-0007,ZONE_C_TBM_CGL,TBM,CGL,3RD_LINE_BIDIRECTIONAL,MIDDAY_OFFPEAK_VALLEY,2026-09-14 12:30:00,2026-09-14 14:15:00,105,FREIGHT-BOXN-CGL,EMU-4061-SUB,MEDIUM,0
COA-SLOT-0008,ZONE_B_MS_TBM,MS,TBM,LINE_4_MAIN_UP,MIDDAY_OFFPEAK_VALLEY,2026-09-14 12:00:00,2026-09-14 13:40:00,100,EXP-16127-GURUVAYUR,EXP-12606-PALLAVAN,MEDIUM,0
COA-SLOT-0009,ZONE_B_MS_TBM,MS,TBM,LINE_1_SUBURBAN_DN,NIGHT_CORRIDOR_VALLEY,2026-09-15 00:45:00,2026-09-15 03:45:00,180,EMU-4001-LAST,EMU-4003-FIRST,LOW,0
COA-SLOT-0010,ZONE_B_MS_TBM,MS,TBM,LINE_2_SUBURBAN_UP,NIGHT_CORRIDOR_VALLEY,2026-09-15 01:00:00,2026-09-15 04:00:00,180,EMU-4002-LAST,EMU-4004-FIRST,LOW,0
COA-SLOT-0011,ZONE_C_TBM_CGL,TBM,CGL,3RD_LINE_BIDIRECTIONAL,NIGHT_CORRIDOR_VALLEY,2026-09-15 00:30:00,2026-09-15 04:00:00,210,EXP-12637-PANDIAN,FREIGHT-AUTO-MMNK,LOW,0
COA-SLOT-0012,ZONE_C_TBM_CGL,TBM,CGL,LINE_1_SUBURBAN_DN,NIGHT_CORRIDOR_VALLEY,2026-09-15 01:15:00,2026-09-15 03:45:00,150,EMU-4015-LAST,EMU-4017-FIRST,LOW,0
COA-SLOT-0013,ZONE_A_MSB_MS,MSB,MS,LINE_1_SUBURBAN_DN,NIGHT_CORRIDOR_VALLEY,2026-09-15 01:00:00,2026-09-15 03:30:00,150,EMU-4009-LAST,EMU-4011-FIRST,LOW,0
COA-SLOT-0014,ZONE_B_MS_TBM,MS,TBM,LINE_3_MAIN_DN,MIDDAY_OFFPEAK_VALLEY,2026-09-15 12:10:00,2026-09-15 13:50:00,100,EXP-20608-VANDEBHARAT,EXP-12635-VAIGAI,MEDIUM,0
COA-SLOT-0015,ZONE_C_TBM_CGL,TBM,CGL,3RD_LINE_BIDIRECTIONAL,MIDDAY_OFFPEAK_VALLEY,2026-09-15 12:30:00,2026-09-15 14:15:00,105,FREIGHT-BOXN-CGL,EMU-4061-SUB,MEDIUM,0
COA-SLOT-0016,ZONE_B_MS_TBM,MS,TBM,LINE_4_MAIN_UP,MIDDAY_OFFPEAK_VALLEY,2026-09-15 12:00:00,2026-09-15 13:40:00,100,EXP-16127-GURUVAYUR,EXP-12606-PALLAVAN,MEDIUM,0
COA-SLOT-0017,ZONE_B_MS_TBM,MS,TBM,LINE_1_SUBURBAN_DN,NIGHT_CORRIDOR_VALLEY,2026-09-16 00:45:00,2026-09-16 03:45:00,180,EMU-4001-LAST,EMU-4003-FIRST,LOW,0
COA-SLOT-0018,ZONE_B_MS_TBM,MS,TBM,LINE_2_SUBURBAN_UP,NIGHT_CORRIDOR_VALLEY,2026-09-16 01:00:00,2026-09-16 04:00:00,180,EMU-4002-LAST,EMU-4004-FIRST,LOW,0
COA-SLOT-0019,ZONE_C_TBM_CGL,TBM,CGL,3RD_LINE_BIDIRECTIONAL,NIGHT_CORRIDOR_VALLEY,2026-09-16 00:30:00,2026-09-16 04:00:00,210,EXP-12637-PANDIAN,FREIGHT-AUTO-MMNK,LOW,0
COA-SLOT-0020,ZONE_C_TBM_CGL,TBM,CGL,LINE_1_SUBURBAN_DN,NIGHT_CORRIDOR_VALLEY,2026-09-16 01:15:00,2026-09-16 03:45:00,150,EMU-4015-LAST,EMU-4017-FIRST,LOW,0
COA-SLOT-0021,ZONE_A_MSB_MS,MSB,MS,LINE_1_SUBURBAN_DN,NIGHT_CORRIDOR_VALLEY,2026-09-16 01:00:00,2026-09-16 03:30:00,150,EMU-4009-LAST,EMU-4011-FIRST,LOW,0
COA-SLOT-0022,ZONE_B_MS_TBM,MS,TBM,LINE_3_MAIN_DN,MIDDAY_OFFPEAK_VALLEY,2026-09-16 12:10:00,2026-09-16 13:50:00,100,EXP-20608-VANDEBHARAT,EXP-12635-VAIGAI,MEDIUM,0
COA-SLOT-0023,ZONE_C_TBM_CGL,TBM,CGL,3RD_LINE_BIDIRECTIONAL,MIDDAY_OFFPEAK_VALLEY,2026-09-16 12:30:00,2026-09-16 14:15:00,105,FREIGHT-BOXN-CGL,EMU-4061-SUB,MEDIUM,0
COA-SLOT-0024,ZONE_B_MS_TBM,MS,TBM,LINE_4_MAIN_UP,MIDDAY_OFFPEAK_VALLEY,2026-09-16 12:00:00,2026-09-16 13:40:00,100,EXP-16127-GURUVAYUR,EXP-12606-PALLAVAN,MEDIUM,0
COA-SLOT-0025,ZONE_B_MS_TBM,MS,TBM,LINE_1_SUBURBAN_DN,NIGHT_CORRIDOR_VALLEY,2026-09-17 00:45:00,2026-09-17 03:45:00,180,EMU-4001-LAST,EMU-4003-FIRST,LOW,0
COA-SLOT-0026,ZONE_B_MS_TBM,MS,TBM,LINE_2_SUBURBAN_UP,NIGHT_CORRIDOR_VALLEY,2026-09-17 01:00:00,2026-09-17 04:00:00,180,EMU-4002-LAST,EMU-4004-FIRST,LOW,0
COA-SLOT-0027,ZONE_C_TBM_CGL,TBM,CGL,3RD_LINE_BIDIRECTIONAL,NIGHT_CORRIDOR_VALLEY,2026-09-17 00:30:00,2026-09-17 04:00:00,210,EXP-12637-PANDIAN,FREIGHT-AUTO-MMNK,LOW,0
COA-SLOT-0028,ZONE_C_TBM_CGL,TBM,CGL,LINE_1_SUBURBAN_DN,NIGHT_CORRIDOR_VALLEY,2026-09-17 01:15:00,2026-09-17 03:45:00,150,EMU-4015-LAST,EMU-4017-FIRST,LOW,0
COA-SLOT-0029,ZONE_A_MSB_MS,MSB,MS,LINE_1_SUBURBAN_DN,NIGHT_CORRIDOR_VALLEY,2026-09-17 01:00:00,2026-09-17 03:30:00,150,EMU-4009-LAST,EMU-4011-FIRST,LOW,0
COA-SLOT-0030,ZONE_B_MS_TBM,MS,TBM,LINE_3_MAIN_DN,MIDDAY_OFFPEAK_VALLEY,2026-09-17 12:10:00,2026-09-17 13:50:00,100,EXP-20608-VANDEBHARAT,EXP-12635-VAIGAI,MEDIUM,0
COA-SLOT-0031,ZONE_C_TBM_CGL,TBM,CGL,3RD_LINE_BIDIRECTIONAL,MIDDAY_OFFPEAK_VALLEY,2026-09-17 12:30:00,2026-09-17 14:15:00,105,FREIGHT-BOXN-CGL,EMU-4061-SUB,MEDIUM,0
COA-SLOT-0032,ZONE_B_MS_TBM,MS,TBM,LINE_4_MAIN_UP,MIDDAY_OFFPEAK_VALLEY,2026-09-17 12:00:00,2026-09-17 13:40:00,100,EXP-16127-GURUVAYUR,EXP-12606-PALLAVAN,MEDIUM,0
COA-SLOT-0033,ZONE_B_MS_TBM,MS,TBM,LINE_1_SUBURBAN_DN,NIGHT_CORRIDOR_VALLEY,2026-09-18 00:45:00,2026-09-18 03:45:00,180,EMU-4001-LAST,EMU-4003-FIRST,LOW,0
COA-SLOT-0034,ZONE_B_MS_TBM,MS,TBM,LINE_2_SUBURBAN_UP,NIGHT_CORRIDOR_VALLEY,2026-09-18 01:00:00,2026-09-18 04:00:00,180,EMU-4002-LAST,EMU-4004-FIRST,LOW,0
COA-SLOT-0035,ZONE_C_TBM_CGL,TBM,CGL,3RD_LINE_BIDIRECTIONAL,NIGHT_CORRIDOR_VALLEY,2026-09-18 00:30:00,2026-09-18 04:00:00,210,EXP-12637-PANDIAN,FREIGHT-AUTO-MMNK,LOW,0
COA-SLOT-0036,ZONE_C_TBM_CGL,TBM,CGL,LINE_1_SUBURBAN_DN,NIGHT_CORRIDOR_VALLEY,2026-09-18 01:15:00,2026-09-18 03:45:00,150,EMU-4015-LAST,EMU-4017-FIRST,LOW,0
COA-SLOT-0037,ZONE_A_MSB_MS,MSB,MS,LINE_1_SUBURBAN_DN,NIGHT_CORRIDOR_VALLEY,2026-09-18 01:00:00,2026-09-18 03:30:00,150,EMU-4009-LAST,EMU-4011-FIRST,LOW,0
COA-SLOT-0038,ZONE_B_MS_TBM,MS,TBM,LINE_3_MAIN_DN,MIDDAY_OFFPEAK_VALLEY,2026-09-18 12:10:00,2026-09-18 13:50:00,100,EXP-20608-VANDEBHARAT,EXP-12635-VAIGAI,MEDIUM,0
COA-SLOT-0039,ZONE_C_TBM_CGL,TBM,CGL,3RD_LINE_BIDIRECTIONAL,MIDDAY_OFFPEAK_VALLEY,2026-09-18 12:30:00,2026-09-18 14:15:00,105,FREIGHT-BOXN-CGL,EMU-4061-SUB,MEDIUM,0
COA-SLOT-0040,ZONE_B_MS_TBM,MS,TBM,LINE_4_MAIN_UP,MIDDAY_OFFPEAK_VALLEY,2026-09-18 12:00:00,2026-09-18 13:40:00,100,EXP-16127-GURUVAYUR,EXP-12606-PALLAVAN,MEDIUM,0
COA-SLOT-0041,ZONE_B_MS_TBM,MS,TBM,LINE_1_SUBURBAN_DN,NIGHT_CORRIDOR_VALLEY,2026-09-19 00:45:00,2026-09-19 03:45:00,180,EMU-4001-LAST,EMU-4003-FIRST,LOW,0
