signal_id,signal_name,signal_type,aspects_count,aspect_types,chainage_km,section_from_station_code,section_to_station_code,inter_station_sequence,interlocked_gate_code,normal_aspect
STARTER-SIG-MSB,Chennai Beach Platform 1 Starter Signal,STATION_STARTER,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",0.05,MSB,MSF,1,NONE,GREEN
ABS-SIG-01,Automatic Signal 01,AUTOMATIC_BLOCK,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",0.9,MSB,MSF,1,NONE,GREEN
HOME-SIG-MSF,Chennai Fort Home Signal,STATION_HOME,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",1.65,MSB,MSF,2,NONE,GREEN
ABS-SIG-02,Automatic Signal 02,AUTOMATIC_BLOCK,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",2.4,MSF,MPK,1,NONE,GREEN
HOME-SIG-MPK,Chennai Park Home Signal,STATION_HOME,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",2.95,MSF,MPK,2,NONE,GREEN
ABS-SIG-03,Automatic Signal 03,AUTOMATIC_BLOCK,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",3.65,MPK,MS,1,NONE,GREEN
HOME-SIG-MS,Chennai Egmore Jn Home Signal,STATION_HOME,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",4.15,MPK,MS,2,NONE,GREEN
ABS-SIG-04,Automatic Signal 04,AUTOMATIC_BLOCK,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",5.1,MS,MSC,1,NONE,GREEN
ABS-SIG-05,Automatic Signal 05,AUTOMATIC_BLOCK,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",5.9,MS,MSC,2,NONE,GREEN
HOME-SIG-MSC,Chetpet Home Signal,STATION_HOME,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",6.4,MS,MSC,3,NONE,GREEN
ABS-SIG-06,Automatic Signal 06,AUTOMATIC_BLOCK,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",7.35,MSC,NBK,1,NONE,GREEN
HOME-SIG-NBK,Nungambakkam Home Signal,STATION_HOME,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",7.95,MSC,NBK,2,NONE,GREEN
ABS-SIG-07,Automatic Signal 07,AUTOMATIC_BLOCK,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",8.9,NBK,MKK,1,NONE,GREEN
HOME-SIG-MKK,Kodambakkam Home Signal,STATION_HOME,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",9.5,NBK,MKK,2,NONE,GREEN
ABS-SIG-08,Automatic Signal 08,AUTOMATIC_BLOCK,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",10.45,MKK,MBM,1,NONE,GREEN
HOME-SIG-MBM,Mambalam Home Signal,STATION_HOME,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",11.1,MKK,MBM,2,NONE,GREEN
ABS-SIG-09,Automatic Signal 09,AUTOMATIC_BLOCK,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",12.1,MBM,SP,1,NONE,GREEN
HOME-SIG-SP,Saidapet Home Signal,STATION_HOME,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",12.7,MBM,SP,2,NONE,GREEN
ABS-SIG-10,Automatic Signal 10,AUTOMATIC_BLOCK,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",13.6,SP,GDY,1,NONE,GREEN
ABS-SIG-11,Automatic Signal 11,AUTOMATIC_BLOCK,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",14.4,SP,GDY,2,NONE,GREEN
HOME-SIG-GDY,Guindy Jn Home Signal,STATION_HOME,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",14.85,SP,GDY,3,NONE,GREEN
ABS-SIG-12,Automatic Signal 12,AUTOMATIC_BLOCK,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",15.7,GDY,STM,1,NONE,GREEN
ABS-SIG-13,Automatic Signal 13,AUTOMATIC_BLOCK,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",16.5,GDY,STM,2,NONE,GREEN
HOME-SIG-STM,St. Thomas Mount Jn Home Signal,STATION_HOME,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",16.95,GDY,STM,3,NONE,GREEN
ABS-SIG-14,Automatic Signal 14,AUTOMATIC_BLOCK,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",17.9,STM,PZA,1,NONE,GREEN
HOME-SIG-PZA,Pazhavanthangal Home Signal,STATION_HOME,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",18.55,STM,PZA,2,NONE,GREEN
ABS-SIG-15,Automatic Signal 15,AUTOMATIC_BLOCK,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",19.35,PZA,MN,1,NONE,GREEN
HOME-SIG-MN,Meenambakkam Home Signal,STATION_HOME,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",19.85,PZA,MN,2,NONE,GREEN
ABS-SIG-16,Automatic Signal 16,AUTOMATIC_BLOCK,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",20.6,MN,TLM,1,NONE,GREEN
HOME-SIG-TLM,Tirusulam Home Signal,STATION_HOME,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",21.05,MN,TLM,2,NONE,GREEN
ABS-SIG-17,Automatic Signal 17,AUTOMATIC_BLOCK,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",22.15,TLM,PV,1,NONE,GREEN
HOME-SIG-PV,Pallavaram Home Signal,STATION_HOME,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",22.95,TLM,PV,2,NONE,GREEN
ABS-SIG-18,Automatic Signal 18,AUTOMATIC_BLOCK,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",23.9,PV,CMP,1,NONE,GREEN
GATE-SIG-LC26,Semi-Automatic Gate Signal LC-26 (Radha Nagar),SEMI_AUTO_GATE,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",24.6,PV,CMP,2,LC-26,GREEN
HOME-SIG-CMP,Chromepet Home Signal,STATION_HOME,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",25.15,PV,CMP,3,NONE,GREEN
GATE-SIG-LC27,Semi-Automatic Gate Signal LC-27 (MIT Gate),SEMI_AUTO_GATE,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",25.65,CMP,TBMS,1,LC-27,GREEN
ABS-SIG-19,Automatic Signal 19,AUTOMATIC_BLOCK,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",26.5,CMP,TBMS,2,NONE,GREEN
HOME-SIG-TBMS,Tambaram Sanatorium Home Signal,STATION_HOME,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",27.15,CMP,TBMS,3,NONE,GREEN
ABS-SIG-20,Automatic Signal 20,AUTOMATIC_BLOCK,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",28.1,TBMS,TBM,1,NONE,GREEN
HOME-SIG-TBM,Tambaram Jn Home Signal,STATION_HOME,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",28.85,TBMS,TBM,2,NONE,GREEN
ABS-SIG-21,Automatic Signal 21,AUTOMATIC_BLOCK,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",30.1,TBM,PRGL,1,NONE,GREEN
ABS-SIG-22,Automatic Signal 22,AUTOMATIC_BLOCK,4,"RED, YELLOW, DOUBLE_YELLOW, GREEN",31.1,TBM,PRGL,2,NONE,GREEN
