opening_id,gate_code,location_name,kilometer_marker,between_station_from_id,between_station_to_id,station_pair,open_timestamp,close_timestamp,open_duration_seconds,delay_impact_minutes
1,LC-58,Singaperumal Koil (Temple Gate),52.3,24,25,MMNK - SKL,2026-09-15 00:05:16,2026-09-15 00:11:31,375,6.25
2,LC-43,Vandalur - Urapakkam (Otteri Gate),36.8,20,21,VDR - UPM,2026-09-15 00:26:59,2026-09-15 00:33:17,378,6.3
3,LC-52,Potheri (SRM University Link Gate),44.8,23,24,POTI - MMNK,2026-09-15 00:49:25,2026-09-15 00:56:16,411,6.85
4,LC-61,Paranur (Mahindra World City Gate),56.4,25,26,SKL - CGL,2026-09-15 01:14:57,2026-09-15 01:21:09,372,6.2
5,LC-27,Chromepet (MIT Gate),25.8,16,17,CMP - TBMS,2026-09-15 01:23:15,2026-09-15 01:28:12,297,4.95
6,LC-43,Vandalur - Urapakkam (Otteri Gate),36.8,20,21,VDR - UPM,2026-09-15 01:50:01,2026-09-15 01:56:31,390,6.5
7,LC-26,Chromepet (Radha Nagar Gate),24.8,15,16,PV - CMP,2026-09-15 02:07:00,2026-09-15 02:11:18,258,4.3
8,LC-26,Chromepet (Radha Nagar Gate),24.8,15,16,PV - CMP,2026-09-15 02:27:04,2026-09-15 02:34:55,471,7.85
9,LC-43,Vandalur - Urapakkam (Otteri Gate),36.8,20,21,VDR - UPM,2026-09-15 02:50:04,2026-09-15 02:56:15,371,6.18
10,LC-43,Vandalur - Urapakkam (Otteri Gate),36.8,20,21,VDR - UPM,2026-09-15 03:08:42,2026-09-15 03:14:46,364,6.07
11,LC-61,Paranur (Mahindra World City Gate),56.4,25,26,SKL - CGL,2026-09-15 03:24:46,2026-09-15 03:32:45,479,7.98
12,LC-58,Singaperumal Koil (Temple Gate),52.3,24,25,MMNK - SKL,2026-09-15 03:47:50,2026-09-15 03:53:51,361,6.02
13,LC-58,Singaperumal Koil (Temple Gate),52.3,24,25,MMNK - SKL,2026-09-15 04:06:06,2026-09-15 04:10:30,264,4.4
14,LC-61,Paranur (Mahindra World City Gate),56.4,25,26,SKL - CGL,2026-09-15 04:31:27,2026-09-15 04:37:12,345,5.75
15,LC-27,Chromepet (MIT Gate),25.8,16,17,CMP - TBMS,2026-09-15 04:41:43,2026-09-15 04:48:30,407,6.78
16,LC-52,Potheri (SRM University Link Gate),44.8,23,24,POTI - MMNK,2026-09-15 05:01:25,2026-09-15 05:08:31,426,7.1
17,LC-43,Vandalur - Urapakkam (Otteri Gate),36.8,20,21,VDR - UPM,2026-09-15 05:23:15,2026-09-15 05:28:04,289,4.82
18,LC-33,Perungalathur (Peerkankaranai Gate),32.2,18,19,TBM - PRGL,2026-09-15 05:54:08,2026-09-15 05:59:56,348,5.8
19,LC-27,Chromepet (MIT Gate),25.8,16,17,CMP - TBMS,2026-09-15 06:08:29,2026-09-15 06:13:32,303,5.05
