monthly_plan_id,scheduled_date,station_code,department,block_type,heavy_machinery,tasks_bundled,block_start_time,block_end_time,duration_hours,coordination_lead_dept
M-BLK-001,2026-09-21,CGL,ELECTRICAL_TRD,OHE_POWER_BLOCK,8_WHEELER_TOWER_WAGON,8,2026-09-21 00:30:00,2026-09-21 03:30:00,3.5,ELECTRICAL_TRD
M-BLK-002,2026-09-24,CGL,ENGINEERING_CIVIL,TRACK_TAMPING_HEAVY_BLOCK,CSM_09_32_TAMPER / BCM,7,2026-09-24 00:30:00,2026-09-24 04:30:00,4.0,ENGINEERING_CIVIL
M-BLK-003,2026-09-27,CGL,S_AND_T,INTERLOCKING_POINT_OVERHAUL,S_AND_T_INTEGRATED_TEST_RAKE,2,2026-09-27 00:30:00,2026-09-27 02:30:00,2.5,S_AND_T
M-BLK-004,2026-09-30,CMP,ELECTRICAL_TRD,OHE_POWER_BLOCK,8_WHEELER_TOWER_WAGON,6,2026-09-30 00:30:00,2026-09-30 03:30:00,3.5,ELECTRICAL_TRD
M-BLK-005,2026-10-03,CMP,ENGINEERING_CIVIL,TRACK_TAMPING_HEAVY_BLOCK,CSM_09_32_TAMPER / BCM,11,2026-10-03 00:30:00,2026-10-03 04:30:00,4.0,ENGINEERING_CIVIL
M-BLK-006,2026-10-06,CMP,S_AND_T,INTERLOCKING_POINT_OVERHAUL,S_AND_T_INTEGRATED_TEST_RAKE,4,2026-10-06 00:30:00,2026-10-06 02:30:00,2.5,S_AND_T
M-BLK-007,2026-10-09,GDY,ELECTRICAL_TRD,OHE_POWER_BLOCK,8_WHEELER_TOWER_WAGON,5,2026-10-09 00:30:00,2026-10-09 03:30:00,3.5,ELECTRICAL_TRD
M-BLK-008,2026-10-12,GDY,ENGINEERING_CIVIL,TRACK_TAMPING_HEAVY_BLOCK,CSM_09_32_TAMPER / BCM,10,2026-10-12 00:30:00,2026-10-12 04:30:00,4.0,ENGINEERING_CIVIL
M-BLK-009,2026-10-15,GDY,S_AND_T,INTERLOCKING_POINT_OVERHAUL,S_AND_T_INTEGRATED_TEST_RAKE,11,2026-10-15 00:30:00,2026-10-15 02:30:00,2.5,S_AND_T
M-BLK-010,2026-10-18,GI,ELECTRICAL_TRD,OHE_POWER_BLOCK,8_WHEELER_TOWER_WAGON,5,2026-10-18 00:30:00,2026-10-18 03:30:00,3.5,ELECTRICAL_TRD
