switch_id,switch_sequence_id,point_number,station_code,station_name,chainage_km,switch_type,turnout_angle,point_machine_type,max_diverging_speed_kmh,connects_from_line,connects_to_line,normal_setting,interlocking_type
SW-MSB-101,1,Point 101,MSB,Chennai Beach,0.06,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 1 (Suburban DN),Line 3 (Main DN),NORMAL,ROUTE_RELAY_INTERLOCKING
SW-MSB-102,2,Point 102,MSB,Chennai Beach,0.07,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 2 (Suburban UP),Line 4 (Main UP),NORMAL,ROUTE_RELAY_INTERLOCKING
SW-MSB-103,3,Point 103,MSB,Chennai Beach,0.09,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 1 (Suburban DN),Line 3 (Main DN),NORMAL,ROUTE_RELAY_INTERLOCKING
SW-MSB-104,4,Point 104,MSB,Chennai Beach,0.1,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 2 (Suburban UP),Line 4 (Main UP),NORMAL,ROUTE_RELAY_INTERLOCKING
SW-MSB-105,5,Point 105,MSB,Chennai Beach,0.12,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 1 (Suburban DN),Line 3 (Main DN),NORMAL,ROUTE_RELAY_INTERLOCKING
SW-MSB-106,6,Point 106,MSB,Chennai Beach,0.13,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 2 (Suburban UP),Line 4 (Main UP),NORMAL,ROUTE_RELAY_INTERLOCKING
SW-MSB-107,7,Point 107,MSB,Chennai Beach,0.14,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 1 (Suburban DN),Line 3 (Main DN),NORMAL,ROUTE_RELAY_INTERLOCKING
SW-MSB-108,8,Point 108,MSB,Chennai Beach,0.16,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 2 (Suburban UP),Line 4 (Main UP),NORMAL,ROUTE_RELAY_INTERLOCKING
SW-MSB-109,9,Point 109,MSB,Chennai Beach,0.17,TURNOUT_1_IN_12,1 in 12,Electric Point Machine (110V DC Rotary),30,Main Line Track,Platform 2 Loop,NORMAL,ROUTE_RELAY_INTERLOCKING
SW-MSB-110,10,Point 110,MSB,Chennai Beach,0.19,TURNOUT_1_IN_12,1 in 12,Electric Point Machine (110V DC Rotary),30,Main Line Track,Platform 3 Loop,NORMAL,ROUTE_RELAY_INTERLOCKING
SW-MSB-111,11,Point 111,MSB,Chennai Beach,0.2,TURNOUT_1_IN_12,1 in 12,Electric Point Machine (110V DC Rotary),30,Main Line Track,Platform 4 Loop,NORMAL,ROUTE_RELAY_INTERLOCKING
SW-MSB-112,12,Point 112,MSB,Chennai Beach,0.22,TURNOUT_1_IN_12,1 in 12,Electric Point Machine (110V DC Rotary),30,Main Line Track,Platform 5 Loop,NORMAL,ROUTE_RELAY_INTERLOCKING
SW-MSB-113,13,Point 113,MSB,Chennai Beach,0.23,TURNOUT_1_IN_12,1 in 12,Electric Point Machine (110V DC Rotary),30,Main Line Track,Platform 6 Loop,NORMAL,ROUTE_RELAY_INTERLOCKING
SW-MSB-114,14,Point 114,MSB,Chennai Beach,0.25,TURNOUT_1_IN_12,1 in 12,Electric Point Machine (110V DC Rotary),30,Main Line Track,Platform 7 Loop,NORMAL,ROUTE_RELAY_INTERLOCKING
SW-MSB-115,15,Point 115,MSB,Chennai Beach,0.26,TURNOUT_1_IN_12,1 in 12,Electric Point Machine (110V DC Rotary),30,Main Line Track,Platform 8 Loop,NORMAL,ROUTE_RELAY_INTERLOCKING
SW-MSB-116,16,Point 116,MSB,Chennai Beach,0.28,TURNOUT_1_IN_12,1 in 12,Electric Point Machine (110V DC Rotary),30,Main Line Track,Platform 1 Loop,NORMAL,ROUTE_RELAY_INTERLOCKING
SW-MSB-117,17,Point 117,MSB,Chennai Beach,0.29,TURNOUT_1_IN_12,1 in 12,Electric Point Machine (110V DC Rotary),30,Main Line Track,Platform 2 Loop,NORMAL,ROUTE_RELAY_INTERLOCKING
SW-MSB-118,18,Point 118,MSB,Chennai Beach,0.31,TURNOUT_1_IN_12,1 in 12,Electric Point Machine (110V DC Rotary),30,Main Line Track,Platform 3 Loop,NORMAL,ROUTE_RELAY_INTERLOCKING
SW-MSB-119,19,Point 119,MSB,Chennai Beach,0.32,TURNOUT_1_IN_12,1 in 12,Electric Point Machine (110V DC Rotary),30,Main Line Track,Platform 4 Loop,NORMAL,ROUTE_RELAY_INTERLOCKING
SW-MSB-120,20,Point 120,MSB,Chennai Beach,0.33,TURNOUT_1_IN_12,1 in 12,Electric Point Machine (110V DC Rotary),30,Main Line Track,Platform 5 Loop,NORMAL,ROUTE_RELAY_INTERLOCKING
SW-MSB-121,21,Point 121,MSB,Chennai Beach,0.35,TURNOUT_1_IN_8.5,1 in 8.5,Electric Point Machine (110V DC Rotary),15,Yard Shunting Neck,Car Shed / Goods Siding Line,NORMAL,ROUTE_RELAY_INTERLOCKING
SW-MSB-122,22,Point 122,MSB,Chennai Beach,0.36,TURNOUT_1_IN_8.5,1 in 8.5,Electric Point Machine (110V DC Rotary),15,Yard Shunting Neck,Car Shed / Goods Siding Line,NORMAL,ROUTE_RELAY_INTERLOCKING
SW-MSB-123,23,Point 123,MSB,Chennai Beach,0.38,TURNOUT_1_IN_8.5,1 in 8.5,Electric Point Machine (110V DC Rotary),15,Yard Shunting Neck,Car Shed / Goods Siding Line,NORMAL,ROUTE_RELAY_INTERLOCKING
SW-MSB-124,24,Point 124,MSB,Chennai Beach,0.39,TURNOUT_1_IN_8.5,1 in 8.5,Electric Point Machine (110V DC Rotary),15,Yard Shunting Neck,Car Shed / Goods Siding Line,NORMAL,ROUTE_RELAY_INTERLOCKING
SW-MPK-11,25,Point 11,MPK,Chennai Park,2.92,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 1 (Suburban DN),Line 3 (Main DN),NORMAL,ROUTE_RELAY_INTERLOCKING
SW-MPK-12,26,Point 12,MPK,Chennai Park,2.98,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 2 (Suburban UP),Line 4 (Main UP),NORMAL,ROUTE_RELAY_INTERLOCKING
SW-MPK-13,27,Point 13,MPK,Chennai Park,3.02,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 1 (Suburban DN),Line 3 (Main DN),NORMAL,ROUTE_RELAY_INTERLOCKING
SW-MPK-14,28,Point 14,MPK,Chennai Park,3.08,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 2 (Suburban UP),Line 4 (Main UP),NORMAL,ROUTE_RELAY_INTERLOCKING
SW-MS-21,29,Point 21,MS,Chennai Egmore,4.06,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 1 (Suburban DN),Line 3 (Main DN),NORMAL,ELECTRONIC_INTERLOCKING
SW-MS-22,30,Point 22,MS,Chennai Egmore,4.07,CROSSOVER,1 in 12,Electric Point Machine (110V DC Rotary),30,Line 2 (Suburban UP),Line 4 (Main UP),NORMAL,ELECTRONIC_INTERLOCKING
