event_id,signal_post_id,station_id,station_code,station_name,event_timestamp,signal_aspect,delay_seconds,delay_minutes
1,ABS-SIG-MSB-01,1,MSB,Chennai Beach,2026-09-15 00:20:07,DOUBLE_YELLOW,47,0.78
2,ABS-SIG-MSC-02,5,MSC,Chetpet,2026-09-15 00:37:14,DOUBLE_YELLOW,36,0.6
3,ABS-SIG-TBM-03,18,TBM,Tambaram,2026-09-15 01:21:47,RED,135,2.25
4,ABS-SIG-MSB-04,1,MSB,Chennai Beach,2026-09-15 01:43:02,RED,87,1.45
5,ABS-SIG-VDR-05,20,VDR,Vandalur,2026-09-15 02:07:32,RED,131,2.18
6,ABS-SIG-UPM-06,21,UPM,Urapakkam,2026-09-15 02:36:45,DOUBLE_YELLOW,64,1.07
7,ABS-SIG-PV-07,15,PV,Pallavaram,2026-09-15 03:13:14,DOUBLE_YELLOW,47,0.78
8,ABS-SIG-MSB-08,1,MSB,Chennai Beach,2026-09-15 03:55:55,RED,149,2.48
9,ABS-SIG-SP-09,9,SP,Saidapet,2026-09-15 04:13:21,RED,87,1.45
10,ABS-SIG-MS-10,4,MS,Chennai Egmore,2026-09-15 04:54:21,RED,108,1.8
11,ABS-SIG-PZA-11,12,PZA,Pazhavanthangal,2026-09-15 05:03:22,DOUBLE_YELLOW,46,0.77
12,ABS-SIG-MMNK-12,24,MMNK,Maraimalai Nagar,2026-09-15 05:55:02,YELLOW,64,1.07
13,ABS-SIG-MN-13,13,MN,Meenambakkam,2026-09-15 06:03:59,RED,130,2.17
14,ABS-SIG-UPM-14,21,UPM,Urapakkam,2026-09-15 06:39:53,DOUBLE_YELLOW,86,1.43
15,ABS-SIG-MKK-15,7,MKK,Kodambakkam,2026-09-15 07:11:36,DOUBLE_YELLOW,34,0.57
16,ABS-SIG-MBM-16,8,MBM,Mambalam,2026-09-15 07:31:42,YELLOW,35,0.58
17,ABS-SIG-MS-17,4,MS,Chennai Egmore,2026-09-15 08:07:55,YELLOW,47,0.78
18,ABS-SIG-PZA-18,12,PZA,Pazhavanthangal,2026-09-15 08:44:40,RED,107,1.78
19,ABS-SIG-GI-19,22,GI,Guduvancheri,2026-09-15 09:11:13,YELLOW,74,1.23
20,ABS-SIG-MPK-20,3,MPK,Chennai Park,2026-09-15 09:51:41,DOUBLE_YELLOW,70,1.17
21,ABS-SIG-MMNK-21,24,MMNK,Maraimalai Nagar,2026-09-15 10:05:34,RED,80,1.33
22,ABS-SIG-SP-22,9,SP,Saidapet,2026-09-15 10:44:24,DOUBLE_YELLOW,74,1.23
23,ABS-SIG-GI-23,22,GI,Guduvancheri,2026-09-15 11:17:14,YELLOW,83,1.38
24,ABS-SIG-MSF-24,2,MSF,Chennai Fort,2026-09-15 11:54:49,RED,165,2.75
25,ABS-SIG-STM-25,11,STM,St. Thomas Mount,2026-09-15 12:01:51,YELLOW,47,0.78
26,ABS-SIG-PRGL-26,19,PRGL,Perungalathur,2026-09-15 12:32:13,DOUBLE_YELLOW,50,0.83
27,ABS-SIG-CMP-27,16,CMP,Chromepet,2026-09-15 13:06:41,YELLOW,86,1.43
28,ABS-SIG-MSC-28,5,MSC,Chetpet,2026-09-15 13:50:29,YELLOW,38,0.63
29,ABS-SIG-TBM-29,18,TBM,Tambaram,2026-09-15 14:07:47,DOUBLE_YELLOW,46,0.77
30,ABS-SIG-TLM-30,14,TLM,Tirusulam,2026-09-15 14:53:37,DOUBLE_YELLOW,55,0.92
31,ABS-SIG-MSC-31,5,MSC,Chetpet,2026-09-15 15:11:14,DOUBLE_YELLOW,61,1.02
32,ABS-SIG-MSF-32,2,MSF,Chennai Fort,2026-09-15 15:32:48,RED,79,1.32
33,ABS-SIG-GI-33,22,GI,Guduvancheri,2026-09-15 16:20:10,YELLOW,68,1.13
34,ABS-SIG-MN-34,13,MN,Meenambakkam,2026-09-15 16:32:24,DOUBLE_YELLOW,59,0.98
35,ABS-SIG-TBM-35,18,TBM,Tambaram,2026-09-15 17:16:16,RED,147,2.45
36,ABS-SIG-GI-36,22,GI,Guduvancheri,2026-09-15 17:53:07,DOUBLE_YELLOW,78,1.3
37,ABS-SIG-UPM-37,21,UPM,Urapakkam,2026-09-15 18:08:49,YELLOW,37,0.62
38,ABS-SIG-NBK-38,6,NBK,Nungambakkam,2026-09-15 18:39:27,YELLOW,30,0.5
39,ABS-SIG-MMNK-39,24,MMNK,Maraimalai Nagar,2026-09-15 19:23:56,YELLOW,62,1.03
40,ABS-SIG-TBMS-40,17,TBMS,Tambaram Sanatorium,2026-09-15 19:54:11,RED,171,2.85
41,ABS-SIG-UPM-41,21,UPM,Urapakkam,2026-09-15 20:20:19,DOUBLE_YELLOW,68,1.13
42,ABS-SIG-PZA-42,12,PZA,Pazhavanthangal,2026-09-15 20:36:09,RED,129,2.15
43,ABS-SIG-TBMS-43,17,TBMS,Tambaram Sanatorium,2026-09-15 21:24:59,RED,136,2.27
44,ABS-SIG-MSB-44,1,MSB,Chennai Beach,2026-09-15 21:40:31,RED,178,2.97
45,ABS-SIG-GDY-45,10,GDY,Guindy,2026-09-15 22:11:56,RED,67,1.12
46,ABS-SIG-PRGL-46,19,PRGL,Perungalathur,2026-09-15 22:37:56,RED,70,1.17
47,ABS-SIG-MPK-47,3,MPK,Chennai Park,2026-09-15 23:23:31,DOUBLE_YELLOW,79,1.32
48,ABS-SIG-GI-48,22,GI,Guduvancheri,2026-09-15 23:34:08,YELLOW,90,1.5
