scenario_id,scenario_name,train_id,station_id,station_code,station_letter_code,station_name,is_junction,distance_km,scheduled_arrival_mins,signals_in_section,lcs_in_section,switches_at_station,signal_delay_mins,gate_delay_mins,maintenance_delay_mins,accident_delay_mins,actual_arrival_mins,total_delay_mins,is_delayed_binary,dataset_split
1,Early Morning Clean Run,SR-EMU-01,1,MSB,STA_A,Chennai Beach,0,0.0,0.0,0,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0,TRAIN
1,Early Morning Clean Run,SR-EMU-01,2,MSF,STA_B,Chennai Fort,0,1.8,3.5,2,0,0,0.5,0.0,0.0,0.0,4.5,1.0,0,TRAIN
1,Early Morning Clean Run,SR-EMU-01,3,MPK,STA_C,Chennai Park,0,3.07,6.5,2,0,4,0.0,0.0,0.0,0.0,7.5,1.0,0,TRAIN
1,Early Morning Clean Run,SR-EMU-01,4,MS,STA_D,Chennai Egmore,1,4.32,9.5,2,0,36,0.0,0.0,0.0,0.0,10.5,1.0,0,TRAIN
1,Early Morning Clean Run,SR-EMU-01,5,MSC,STA_E,Chetpet,0,6.56,14.5,3,0,2,0.0,0.0,0.0,0.0,15.5,1.0,0,TRAIN
1,Early Morning Clean Run,SR-EMU-01,6,NBK,STA_F,Nungambakkam,0,8.15,18.0,2,0,2,0.0,0.0,0.0,0.0,19.0,1.0,0,TRAIN
1,Early Morning Clean Run,SR-EMU-01,7,MKK,STA_G,Kodambakkam,0,9.68,21.5,2,0,0,0.0,0.0,0.0,0.0,22.5,1.0,0,TRAIN
1,Early Morning Clean Run,SR-EMU-01,8,MBM,STA_H,Mambalam,0,11.29,25.2,2,0,4,0.0,0.0,0.0,0.0,26.2,1.0,0,TRAIN
1,Early Morning Clean Run,SR-EMU-01,9,SP,STA_I,Saidapet,0,12.9,28.9,2,0,2,0.0,0.0,0.0,0.0,29.9,1.0,0,TRAIN
1,Early Morning Clean Run,SR-EMU-01,10,GDY,STA_J,Guindy,1,15.01,33.4,3,0,4,1.02,0.0,0.0,0.0,35.42,2.02,0,TRAIN
1,Early Morning Clean Run,SR-EMU-01,11,STM,STA_K,St. Thomas Mount,1,17.12,38.4,3,0,6,0.0,0.0,0.0,0.0,40.42,2.02,0,TRAIN
1,Early Morning Clean Run,SR-EMU-01,12,PZA,STA_L,Pazhavanthangal,0,18.75,42.6,2,0,0,0.0,0.0,0.0,0.0,44.62,2.02,0,TRAIN
1,Early Morning Clean Run,SR-EMU-01,13,MN,STA_M,Meenambakkam,0,20.04,45.6,2,0,0,0.0,0.0,0.0,0.0,47.62,2.02,0,TRAIN
1,Early Morning Clean Run,SR-EMU-01,14,TLM,STA_N,Tirusulam,0,21.22,48.4,2,0,0,1.14,0.0,0.0,0.0,51.56,3.16,0,TRAIN
1,Early Morning Clean Run,SR-EMU-01,15,PV,STA_O,Pallavaram,0,23.15,52.7,2,0,2,0.0,0.0,0.0,0.0,55.86,3.16,0,TRAIN
1,Early Morning Clean Run,SR-EMU-01,16,CMP,STA_P,Chromepet,0,25.35,57.4,3,1,2,0.0,0.0,0.0,0.0,60.56,3.16,0,TRAIN
1,Early Morning Clean Run,SR-EMU-01,17,TBMS,STA_Q,Tambaram Sanatorium,0,27.36,61.9,3,1,2,0.0,2.1,0.0,0.0,67.16,5.26,1,TRAIN
1,Early Morning Clean Run,SR-EMU-01,18,TBM,STA_R,Tambaram,1,29.14,66.2,2,0,42,0.0,0.0,0.0,0.0,71.46,5.26,1,TRAIN
1,Early Morning Clean Run,SR-EMU-01,19,PRGL,STA_S,Perungalathur,0,32.64,72.7,4,1,0,0.0,0.0,0.0,0.0,77.96,5.26,1,TRAIN
1,Early Morning Clean Run,SR-EMU-01,20,VDR,STA_T,Vandalur,0,34.44,76.7,2,1,3,0.0,0.0,0.0,0.0,81.96,5.26,1,TRAIN
1,Early Morning Clean Run,SR-EMU-01,21,UPM,STA_U,Urapakkam,0,37.5,82.2,3,2,2,0.0,0.0,0.0,0.0,87.46,5.26,1,TRAIN
1,Early Morning Clean Run,SR-EMU-01,22,GI,STA_V,Guduvancheri,0,40.41,87.5,3,1,5,1.1,0.0,0.0,0.0,93.86,6.36,1,TRAIN
1,Early Morning Clean Run,SR-EMU-01,23,POTI,STA_W,Potheri,0,43.94,93.5,4,1,0,1.05,0.0,0.0,0.0,100.91,7.41,1,TRAIN
1,Early Morning Clean Run,SR-EMU-01,24,MMNK,STA_X,Maraimalai Nagar,0,46.96,99.0,3,2,8,0.0,0.0,0.0,0.0,106.41,7.41,1,TRAIN
1,Early Morning Clean Run,SR-EMU-01,25,SKL,STA_Y,Singaperumal Koil,0,51.48,106.5,5,1,4,0.42,1.49,0.0,0.0,115.82,9.32,1,TRAIN
1,Early Morning Clean Run,SR-EMU-01,26,CGL,STA_Z,Chengalpattu Junction,0,59.84,119.0,8,2,28,0.0,0.0,0.0,0.0,128.32,9.32,1,TRAIN
2,Morning Peak Rush (Heavy Headway),SR-EMU-02,1,MSB,STA_A,Chennai Beach,0,0.0,0.0,0,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0,TRAIN
2,Morning Peak Rush (Heavy Headway),SR-EMU-02,2,MSF,STA_B,Chennai Fort,0,1.8,3.5,2,0,0,2.5,0.0,0.0,0.0,6.5,3.0,0,TRAIN
2,Morning Peak Rush (Heavy Headway),SR-EMU-02,3,MPK,STA_C,Chennai Park,0,3.07,6.5,2,0,4,0.0,0.0,0.0,0.0,9.5,3.0,0,TRAIN
2,Morning Peak Rush (Heavy Headway),SR-EMU-02,4,MS,STA_D,Chennai Egmore,1,4.32,9.5,2,0,36,0.0,0.0,0.0,0.0,12.5,3.0,0,TRAIN
2,Morning Peak Rush (Heavy Headway),SR-EMU-02,5,MSC,STA_E,Chetpet,0,6.56,14.5,3,0,2,0.0,0.0,0.0,0.0,17.5,3.0,0,TRAIN
2,Morning Peak Rush (Heavy Headway),SR-EMU-02,6,NBK,STA_F,Nungambakkam,0,8.15,18.0,2,0,2,0.0,0.0,0.0,0.0,21.0,3.0,0,TRAIN
2,Morning Peak Rush (Heavy Headway),SR-EMU-02,7,MKK,STA_G,Kodambakkam,0,9.68,21.5,2,0,0,3.29,0.0,0.0,0.0,27.79,6.29,1,TRAIN
2,Morning Peak Rush (Heavy Headway),SR-EMU-02,8,MBM,STA_H,Mambalam,0,11.29,25.2,2,0,4,3.27,0.0,0.0,0.0,34.76,9.56,1,TRAIN
2,Morning Peak Rush (Heavy Headway),SR-EMU-02,9,SP,STA_I,Saidapet,0,12.9,28.9,2,0,2,1.22,0.0,0.0,0.0,39.68,10.78,1,TRAIN
2,Morning Peak Rush (Heavy Headway),SR-EMU-02,10,GDY,STA_J,Guindy,1,15.01,33.4,3,0,4,2.93,0.0,0.0,0.0,47.11,13.71,1,TRAIN
2,Morning Peak Rush (Heavy Headway),SR-EMU-02,11,STM,STA_K,St. Thomas Mount,1,17.12,38.4,3,0,6,2.62,0.0,0.0,0.0,54.73,16.33,1,TRAIN
2,Morning Peak Rush (Heavy Headway),SR-EMU-02,12,PZA,STA_L,Pazhavanthangal,0,18.75,42.6,2,0,0,0.0,0.0,0.0,0.0,58.93,16.33,1,TRAIN
2,Morning Peak Rush (Heavy Headway),SR-EMU-02,13,MN,STA_M,Meenambakkam,0,20.04,45.6,2,0,0,0.0,0.0,0.0,0.0,61.93,16.33,1,TRAIN
2,Morning Peak Rush (Heavy Headway),SR-EMU-02,14,TLM,STA_N,Tirusulam,0,21.22,48.4,2,0,0,0.0,0.0,0.0,0.0,64.73,16.33,1,TRAIN
2,Morning Peak Rush (Heavy Headway),SR-EMU-02,15,PV,STA_O,Pallavaram,0,23.15,52.7,2,0,2,2.66,0.0,0.0,0.0,71.69,18.99,1,TRAIN
