block_plan_id,slot_id,corridor_zone,station_code,chainage_km,track_id,start_time,end_time,available_slot_hours,allocated_block_hours,uncoordinated_baseline_hours,hours_saved_by_coordination,is_multi_department_joint,departments_count,departments_list,tasks_count,defect_ids,work_summary,conflict_free_verified
W-BLK-001,COA-SLOT-0003,ZONE_C_TBM_CGL,GI,40.73,3RD_LINE_BIDIRECTIONAL,2026-09-14 00:30:00,2026-09-14 04:00:00,3.5,3.5,14.0,10.5,1,3,"ELECTRICAL_TRD, ENGINEERING_CIVIL, S_AND_T",5,SMMS-DEF-0025; TMS-DEF-0002; TMS-DEF-0274; TMS-DEF-0170; TDMS-DEF-0115,SMMS: AXLE_COUNTER_DRIFT | TMS: RAIL_FRACTURE_RISK | TMS: IMR_ULTRASONIC_FLAW | TMS: IMR_ULTRASONIC_FLAW | TDMS: CONTACT_WIRE_CONDEMNING_WEAR,1
W-BLK-002,COA-SLOT-0001,ZONE_B_MS_TBM,TBM,29.14,LINE_1_SUBURBAN_DN,2026-09-14 00:45:00,2026-09-14 03:45:00,3.0,3.0,15.5,12.5,1,3,"ELECTRICAL_TRD, ENGINEERING_CIVIL, S_AND_T",6,SMMS-DEF-0232; SMMS-DEF-0200; SMMS-DEF-0102; SMMS-DEF-0214; TDMS-DEF-0157; TMS-DEF-0098,SMMS: POINT_GROUND_CONNECTION_WEAR | SMMS: POINT_GROUND_CONNECTION_WEAR | SMMS: POINT_GROUND_CONNECTION_WEAR | SMMS: POINT_MACHINE_MOTOR_SLUGGISH | TDMS: SECTION_INSULATOR_PITTING | TMS: RAIL_FRACTURE_RISK,1
W-BLK-003,COA-SLOT-0002,ZONE_B_MS_TBM,STM,17.12,LINE_2_SUBURBAN_UP,2026-09-14 01:00:00,2026-09-14 04:00:00,3.0,3.0,16.0,13.0,1,3,"ELECTRICAL_TRD, ENGINEERING_CIVIL, S_AND_T",6,SMMS-DEF-0176; SMMS-DEF-0142; SMMS-DEF-0067; SMMS-DEF-0096; TDMS-DEF-0135; TMS-DEF-0147,SMMS: POINT_GROUND_CONNECTION_WEAR | SMMS: POINT_GROUND_CONNECTION_WEAR | SMMS: ELECTRONIC_INTERLOCKING_CARD | SMMS: POINT_GROUND_CONNECTION_WEAR | TDMS: NEUTRAL_SECTION_MAINTENANCE | TMS: RAIL_FRACTURE_RISK,1
W-BLK-004,COA-SLOT-0005,ZONE_A_MSB_MS,MSF,1.46,LINE_1_SUBURBAN_DN,2026-09-14 01:00:00,2026-09-14 03:30:00,2.5,2.5,12.5,10.0,1,3,"ELECTRICAL_TRD, ENGINEERING_CIVIL, S_AND_T",4,TMS-DEF-0227; SMMS-DEF-0172; TDMS-DEF-0146; TDMS-DEF-0102,TMS: TRACK_GEOMETRY_BAD_TGI | SMMS: ELECTRONIC_INTERLOCKING_CARD | TDMS: NEUTRAL_SECTION_MAINTENANCE | TDMS: NEUTRAL_SECTION_MAINTENANCE,1
W-BLK-005,COA-SLOT-0004,ZONE_C_TBM_CGL,UPM,37.18,LINE_1_SUBURBAN_DN,2026-09-14 01:15:00,2026-09-14 03:45:00,2.5,2.5,10.5,8.0,1,3,"ELECTRICAL_TRD, ENGINEERING_CIVIL, S_AND_T",4,TMS-DEF-0262; SMMS-DEF-0146; SMMS-DEF-0174; TDMS-DEF-0210,TMS: RAIL_FRACTURE_RISK | SMMS: POINT_GROUND_CONNECTION_WEAR | SMMS: AXLE_COUNTER_DRIFT | TDMS: CONTACT_WIRE_CONDEMNING_WEAR,1
W-BLK-006,COA-SLOT-0008,ZONE_B_MS_TBM,NBK,8.15,LINE_4_MAIN_UP,2026-09-14 12:00:00,2026-09-14 13:40:00,1.6666666666666667,1.67,14.5,12.83,1,3,"ELECTRICAL_TRD, ENGINEERING_CIVIL, S_AND_T",6,SMMS-DEF-0147; SMMS-DEF-0006; SMMS-DEF-0189; SMMS-DEF-0207; TDMS-DEF-0043; TMS-DEF-0287,SMMS: POINT_GROUND_CONNECTION_WEAR | SMMS: POINT_GROUND_CONNECTION_WEAR | SMMS: AXLE_COUNTER_DRIFT | SMMS: ELECTRONIC_INTERLOCKING_CARD | TDMS: NEUTRAL_SECTION_MAINTENANCE | TMS: IMR_ULTRASONIC_FLAW,1
W-BLK-007,COA-SLOT-0006,ZONE_B_MS_TBM,MN,20.09,LINE_3_MAIN_DN,2026-09-14 12:10:00,2026-09-14 13:50:00,1.6666666666666667,1.67,14.0,12.33,1,3,"ELECTRICAL_TRD, ENGINEERING_CIVIL, S_AND_T",5,SMMS-DEF-0199; TDMS-DEF-0126; SMMS-DEF-0113; SMMS-DEF-0128; TMS-DEF-0089,SMMS: TRACK_CIRCUIT_INSULATION_FAIL | TDMS: NEUTRAL_SECTION_MAINTENANCE | SMMS: POINT_GROUND_CONNECTION_WEAR | SMMS: POINT_GROUND_CONNECTION_WEAR | TMS: RAIL_FRACTURE_RISK,1
W-BLK-008,COA-SLOT-0007,ZONE_C_TBM_CGL,CGL,59.7,3RD_LINE_BIDIRECTIONAL,2026-09-14 12:30:00,2026-09-14 14:15:00,1.75,1.75,10.5,8.75,1,2,"ELECTRICAL_TRD, S_AND_T",5,SMMS-DEF-0059; SMMS-DEF-0219; SMMS-DEF-0014; SMMS-DEF-0230; TDMS-DEF-0001,SMMS: ELECTRONIC_INTERLOCKING_CARD | SMMS: ELECTRONIC_INTERLOCKING_CARD | SMMS: POINT_MACHINE_MOTOR_SLUGGISH | SMMS: POINT_GROUND_CONNECTION_WEAR | TDMS: CONTACT_WIRE_CONDEMNING_WEAR,1
W-BLK-009,COA-SLOT-0011,ZONE_C_TBM_CGL,POTI,43.31,3RD_LINE_BIDIRECTIONAL,2026-09-15 00:30:00,2026-09-15 04:00:00,3.5,3.5,13.0,9.5,1,2,"ELECTRICAL_TRD, ENGINEERING_CIVIL",5,TDMS-DEF-0103; TDMS-DEF-0078; TDMS-DEF-0051; TDMS-DEF-0195; TMS-DEF-0143,TDMS: CONTACT_WIRE_CONDEMNING_WEAR | TDMS: SECTION_INSULATOR_PITTING | TDMS: CATENARY_DROPPER_FATIGUE | TDMS: SECTION_INSULATOR_PITTING | TMS: IMR_ULTRASONIC_FLAW,1
W-BLK-010,COA-SLOT-0009,ZONE_B_MS_TBM,SP,12.9,LINE_1_SUBURBAN_DN,2026-09-15 00:45:00,2026-09-15 03:45:00,3.0,3.0,12.5,9.5,1,2,"ENGINEERING_CIVIL, S_AND_T",5,SMMS-DEF-0213; SMMS-DEF-0065; SMMS-DEF-0186; SMMS-DEF-0209; TMS-DEF-0116,SMMS: POINT_GROUND_CONNECTION_WEAR | SMMS: POINT_GROUND_CONNECTION_WEAR | SMMS: POINT_MACHINE_MOTOR_SLUGGISH | SMMS: POINT_GROUND_CONNECTION_WEAR | TMS: IMR_ULTRASONIC_FLAW,1
